epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1020.53,0.42091,0.29955,0.94308,0.98788,1,0.99489,0.98384,0.21144,0.17581,0.76972,0.00131218,0.00131218,0.00131218
45,1043.76,0.41476,0.28855,0.94247,0.99935,1,0.995,0.98268,0.23115,0.16718,0.77591,0.00130393,0.00130393,0.00130393
46,1067,0.40965,0.2846,0.93428,0.9993,1,0.995,0.98286,0.23637,0.18116,0.77439,0.00129568,0.00129568,0.00129568
47,1090.31,0.40088,0.27486,0.93122,0.99532,1,0.995,0.98205,0.2176,0.16154,0.77061,0.00128742,0.00128742,0.00128742
48,1113.66,0.4099,0.28116,0.9314,0.99922,1,0.995,0.98607,0.21116,0.15976,0.76894,0.00127917,0.00127917,0.00127917
49,1136.95,0.39744,0.27184,0.93393,0.99791,1,0.995,0.98743,0.22494,0.16488,0.76741,0.00127092,0.00127092,0.00127092
50,1160.26,0.41788,0.28788,0.94403,0.99779,1,0.995,0.98854,0.21401,0.16095,0.7679,0.00126267,0.00126267,0.00126267
51,1183.55,0.379,0.26781,0.92845,0.99922,1,0.995,0.98142,0.20775,0.15678,0.77046,0.00125442,0.00125442,0.00125442
52,1206.75,0.39039,0.27684,0.92409,0.99921,1,0.995,0.98336,0.2095,0.15822,0.76981,0.00124617,0.00124617,0.00124617
53,1230.12,0.39602,0.28058,0.93486,0.99926,1,0.995,0.9886,0.19958,0.14864,0.76437,0.00123791,0.00123791,0.00123791
54,1253.34,0.39278,0.26246,0.93588,0.99639,1,0.995,0.98782,0.19598,0.15285,0.76141,0.00122966,0.00122966,0.00122966
55,1276.56,0.38222,0.27031,0.92265,0.99866,1,0.995,0.98831,0.19957,0.15601,0.76178,0.00122141,0.00122141,0.00122141
56,1299.79,0.41686,0.29029,0.95332,0.9983,1,0.995,0.98884,0.20274,0.16588,0.76482,0.00121316,0.00121316,0.00121316
57,1323.16,0.39367,0.26493,0.92819,0.99931,1,0.995,0.98587,0.20282,0.14949,0.76398,0.00120491,0.00120491,0.00120491
58,1346.4,0.38744,0.26143,0.92494,0.99914,1,0.995,0.98574,0.20218,0.16015,0.77016,0.00119666,0.00119666,0.00119666
59,1369.67,0.37777,0.25828,0.91636,0.99877,1,0.995,0.98184,0.2115,0.16045,0.76402,0.0011884,0.0011884,0.0011884
60,1392.92,0.39088,0.26618,0.92244,0.99908,1,0.995,0.98499,0.1916,0.15165,0.76617,0.00118015,0.00118015,0.00118015
61,1416.22,0.36608,0.25703,0.91053,0.99934,1,0.995,0.98733,0.18632,0.14202,0.76301,0.0011719,0.0011719,0.0011719
62,1439.47,0.36982,0.25164,0.93079,0.99929,1,0.995,0.98438,0.1941,0.15273,0.76249,0.00116365,0.00116365,0.00116365
63,1462.91,0.36372,0.247,0.91577,0.99859,1,0.995,0.98444,0.20003,0.1461,0.76511,0.0011554,0.0011554,0.0011554
64,1486.34,0.3778,0.25898,0.9173,0.99932,1,0.995,0.99084,0.19187,0.14428,0.76326,0.00114715,0.00114715,0.00114715
65,1509.77,0.37781,0.26913,0.92297,0.99927,1,0.995,0.99035,0.18792,0.14545,0.75819,0.00113889,0.00113889,0.00113889
66,1533.11,0.38206,0.27136,0.92503,0.99935,1,0.995,0.98375,0.21659,0.15918,0.77305,0.00113064,0.00113064,0.00113064
67,1556.45,0.40186,0.27407,0.93702,0.99803,1,0.995,0.98963,0.1853,0.14739,0.75957,0.00112239,0.00112239,0.00112239
68,1579.85,0.38421,0.27045,0.92607,0.99935,1,0.995,0.98856,0.20155,0.15413,0.7695,0.00111414,0.00111414,0.00111414
69,1603.3,0.36599,0.2551,0.91329,0.99937,1,0.995,0.98827,0.1928,0.14861,0.7633,0.00110589,0.00110589,0.00110589
70,1626.71,0.36867,0.24681,0.92668,0.99935,1,0.995,0.99079,0.19154,0.14203,0.76308,0.00109764,0.00109764,0.00109764
71,1649.96,0.38708,0.26708,0.92905,0.9994,1,0.995,0.99062,0.188,0.14453,0.76123,0.00108938,0.00108938,0.00108938
72,1673.24,0.39681,0.26048,0.94074,0.99922,1,0.995,0.98914,0.19137,0.14453,0.76328,0.00108113,0.00108113,0.00108113
73,1696.58,0.37694,0.25542,0.929,0.99909,1,0.995,0.99015,0.20263,0.14391,0.76411,0.00107288,0.00107288,0.00107288
74,1719.98,0.35828,0.24473,0.91638,0.96312,0.97701,0.98974,0.9721,0.25104,0.25061,0.80255,0.00106463,0.00106463,0.00106463
75,1743.29,0.37526,0.25201,0.91883,0.99937,1,0.995,0.98732,0.18635,0.13311,0.76183,0.00105638,0.00105638,0.00105638
76,1766.77,0.36519,0.25822,0.91942,0.98697,1,0.99489,0.98398,0.20161,0.1436,0.76412,0.00104813,0.00104813,0.00104813
77,1790.22,0.36342,0.24395,0.92344,0.99936,1,0.995,0.99074,0.18043,0.13878,0.76096,0.00103987,0.00103987,0.00103987
78,1813.53,0.3626,0.24696,0.91666,0.99936,1,0.995,0.98791,0.18706,0.13526,0.76357,0.00103162,0.00103162,0.00103162
79,1836.79,0.38607,0.26262,0.93065,0.9993,1,0.995,0.98697,0.19249,0.14105,0.76525,0.00102337,0.00102337,0.00102337
80,1860.08,0.37131,0.24957,0.92119,0.99934,1,0.995,0.98871,0.18104,0.12921,0.75624,0.00101512,0.00101512,0.00101512
81,1883.37,0.34882,0.24022,0.91003,0.99713,1,0.995,0.9909,0.17642,0.13486,0.75628,0.00100687,0.00100687,0.00100687
82,1906.69,0.33986,0.23411,0.90778,0.99907,1,0.995,0.98909,0.19041,0.13555,0.75869,0.000998616,0.000998616,0.000998616
83,1930.02,0.34761,0.24469,0.90691,0.99926,1,0.995,0.98951,0.18955,0.14151,0.76137,0.000990365,0.000990365,0.000990365
84,1953.34,0.35518,0.24958,0.91198,0.99941,1,0.995,0.98425,0.20185,0.14281,0.76085,0.000982113,0.000982113,0.000982113
85,1976.77,0.36403,0.24723,0.91424,0.99942,1,0.995,0.98802,0.19847,0.1333,0.76619,0.000973861,0.000973861,0.000973861
86,2000.14,0.34006,0.23962,0.90574,0.99929,1,0.995,0.98887,0.18499,0.13945,0.76155,0.00096561,0.00096561,0.00096561
87,2023.56,0.37043,0.25017,0.93124,0.99895,1,0.995,0.98947,0.17909,0.13854,0.76094,0.000957358,0.000957358,0.000957358
88,2047,0.33793,0.24738,0.90431,0.9995,1,0.995,0.98627,0.19055,0.14556,0.76319,0.000949106,0.000949106,0.000949106
89,2070.44,0.34901,0.24878,0.91223,0.99938,1,0.995,0.98705,0.18534,0.13789,0.75837,0.000940855,0.000940855,0.000940855
90,2093.92,0.34816,0.2407,0.91841,0.99932,1,0.995,0.98826,0.17659,0.13471,0.75948,0.000932603,0.000932603,0.000932603
91,2117.38,0.34224,0.23329,0.90983,0.99919,1,0.995,0.98707,0.17917,0.13022,0.76365,0.000924352,0.000924352,0.000924352
92,2140.85,0.3447,0.23426,0.90095,0.99936,1,0.995,0.99049,0.18804,0.13344,0.75885,0.0009161,0.0009161,0.0009161
93,2164.3,0.33463,0.22768,0.90605,1,0.9961,0.995,0.9906,0.16536,0.12658,0.75556,0.000907848,0.000907848,0.000907848
94,2187.76,0.34272,0.23984,0.90937,0.99912,1,0.995,0.99221,0.18189,0.13798,0.75951,0.000899597,0.000899597,0.000899597
95,2211.19,0.34854,0.23433,0.91333,0.99943,1,0.995,0.98427,0.1838,0.13703,0.76127,0.000891345,0.000891345,0.000891345
96,2234.67,0.3661,0.24077,0.91772,0.99944,1,0.995,0.98457,0.18805,0.12927,0.76121,0.000883093,0.000883093,0.000883093
97,2257.98,0.35466,0.2438,0.90986,0.99936,1,0.995,0.98477,0.18651,0.14005,0.76104,0.000874842,0.000874842,0.000874842
98,2281.27,0.33931,0.23359,0.91592,0.99937,1,0.995,0.99136,0.17758,0.12647,0.75572,0.00086659,0.00086659,0.00086659
99,2304.6,0.34728,0.23286,0.90751,0.99939,1,0.995,0.99188,0.16682,0.12415,0.7575,0.000858338,0.000858338,0.000858338
100,2328.03,0.33474,0.22961,0.90962,0.99939,1,0.995,0.99015,0.17732,0.12888,0.7593,0.000850087,0.000850087,0.000850087
101,2351.41,0.34953,0.23571,0.91464,0.99932,1,0.995,0.99126,0.17409,0.12228,0.75775,0.000841835,0.000841835,0.000841835
102,2374.7,0.33876,0.22788,0.90964,0.99938,1,0.995,0.99046,0.171,0.12566,0.75794,0.000833583,0.000833583,0.000833583
103,2398.01,0.33078,0.22526,0.90106,0.9994,1,0.995,0.99117,0.17315,0.12047,0.75713,0.000825332,0.000825332,0.000825332
104,2421.42,0.33901,0.23174,0.90635,0.99936,1,0.995,0.99002,0.17161,0.12643,0.75545,0.00081708,0.00081708,0.00081708
105,2444.75,0.33031,0.22708,0.90213,0.99936,1,0.995,0.99005,0.17732,0.12584,0.75738,0.000808828,0.000808828,0.000808828
106,2468.07,0.33548,0.22453,0.90083,0.99939,1,0.995,0.98999,0.17835,0.12005,0.75883,0.000800577,0.000800577,0.000800577
107,2491.5,0.35868,0.23799,0.91712,0.99943,1,0.995,0.98954,0.18056,0.1257,0.75964,0.000792325,0.000792325,0.000792325
108,2514.88,0.31611,0.21908,0.90005,0.99942,1,0.995,0.99156,0.17096,0.12501,0.75843,0.000784073,0.000784073,0.000784073
