epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,4340.46,0.25956,0.17291,0.87948,0.99937,1,0.995,0.99214,0.13812,0.08629,0.74962,0.000140445,0.000140445,0.000140445
187,4363.76,0.26444,0.17726,0.88013,0.99938,1,0.995,0.99214,0.13901,0.08995,0.75018,0.000132193,0.000132193,0.000132193
188,4387.09,0.27028,0.17813,0.88737,0.9994,1,0.995,0.99245,0.14151,0.0874,0.74947,0.000123941,0.000123941,0.000123941
189,4410.54,0.25312,0.16823,0.87239,0.99939,1,0.995,0.99201,0.13598,0.08414,0.74821,0.00011569,0.00011569,0.00011569
190,4433.9,0.25712,0.17264,0.88482,0.99939,1,0.995,0.9921,0.13731,0.08416,0.74897,0.000107438,0.000107438,0.000107438
191,4457.93,0.13026,0.10103,0.77411,0.9994,1,0.995,0.99036,0.13905,0.08928,0.74919,9.91865e-05,9.91865e-05,9.91865e-05
192,4481.17,0.12708,0.0972,0.76998,0.99941,1,0.995,0.99129,0.14036,0.08851,0.74911,9.09349e-05,9.09349e-05,9.09349e-05
193,4504.48,0.1268,0.0963,0.76559,0.99941,1,0.995,0.992,0.14161,0.08837,0.74951,8.26832e-05,8.26832e-05,8.26832e-05
194,4527.77,0.12724,0.09715,0.76871,0.9994,1,0.995,0.99107,0.13991,0.08524,0.74901,7.44316e-05,7.44316e-05,7.44316e-05
195,4551.08,0.12368,0.09361,0.77489,0.9994,1,0.995,0.99261,0.13864,0.08711,0.74875,6.61799e-05,6.61799e-05,6.61799e-05
196,4574.38,0.12668,0.09512,0.77125,0.99941,1,0.995,0.99198,0.13466,0.08731,0.74833,5.79283e-05,5.79283e-05,5.79283e-05
197,4597.66,0.12335,0.09254,0.77031,0.9994,1,0.995,0.9926,0.13538,0.08666,0.74903,4.96766e-05,4.96766e-05,4.96766e-05
198,4620.95,0.12215,0.09378,0.76849,0.9994,1,0.995,0.99307,0.13735,0.08622,0.74868,4.1425e-05,4.1425e-05,4.1425e-05
199,4644.25,0.12295,0.09313,0.77546,0.9994,1,0.995,0.99327,0.13458,0.0849,0.74851,3.31733e-05,3.31733e-05,3.31733e-05
200,4667.6,0.12203,0.09279,0.78017,0.9994,1,0.995,0.99126,0.13588,0.08368,0.7488,2.49217e-05,2.49217e-05,2.49217e-05
